genres,keywords,original_language,original_title,korean_title,kr_rating,popularity,production_countries,release_date,spoken_languages,vote_average,vote_count
"['Comedy', 'Drama', 'Mystery']","['hairdresser', 'sexual frustration', 'businessman', 'funeral', 'love', 'poland']",fr,Trois couleurs : Blanc,세 가지 색: 화이트,19,25.574,"['France', 'Poland', 'Switzerland']",1994-01-26,"['Français', 'Magyar', 'Polski']",7.5,1134
"['Comedy', 'Drama', 'Thriller']","['college', 'male friendship']",en,Emergency,이머전시,,33.688,['United States of America'],2022-05-20,['English'],6.0,213
"['Drama', 'Mystery', 'Romance']","['infidelity', 'judge', 'isolation', 'shadowing', 'english channel', 'geneva, switzerland', 'weather forecast', 'retiree', 'dog', 'surveillance', 'prediction', 'unlikely friendship', 'the color red', 'intertwined lives', 'love destiny', 'fashion model']",fr,Trois couleurs : Rouge,세 가지 색: 레드,19,22.684,"['France', 'Poland', 'Switzerland']",1994-05-12,['Français'],7.918,1317
"['Comedy', 'Romance']","['hotel', 'friendship', 'prostitute', 'sports car', 'capitalism', 'expensive restaurant', 'workaholic', 'fire escape', 'los angeles, california', 'beverly hills', 'piano', 'bubble bath', 'romantic']",en,Pretty Woman,귀여운 여인,18,64.624,['United States of America'],1990-03-23,['English'],7.467,7933
"['Drama', 'Thriller', 'Crime', 'Romance']","['adultery', 'london, england', 'love triangle', 'sports', 'upper class', 'tennis', 'river thames', 'love', 'wealth', 'lust', 'gold digger', 'instructor', 'social climbing']",en,Match Point,매치 포인트,청소년 관람불가,34.23,['United Kingdom'],2005-10-26,['English'],7.4,3946
"['Crime', 'History', 'Thriller']","['chicago, illinois', 'prohibition era', 'gangster', 'baseball bat', 'white suit', 'tough cop', 'treasury agent', 'untouchable', 'tax evasion', 'jury tampering', '1930s']",en,The Untouchables,언터처블,18,37.791,['United States of America'],1987-06-03,['English'],7.776,5422
"['Adventure', 'Fantasy', 'Action']","['mission', 'army', 'based on novel or book', 'orcs', 'elves', 'dwarf', 'magic', 'obsession', 'bravery', 'castle', 'reincarnation', 'sequel', 'battle', 'brutality', 'guide', 'split personality', 'marsh', 'fantasy world', 'wizard', 'journey', 'ring', 'live action and animation', ""hero's journey"", 'high fantasy', 'wraith', 'sword and sorcery', 'trekking', 'evil spell', 'good versus evil', 'creatures', 'trees', 'winged creatures', 'hobbits']",en,The Lord of the Rings: The Two Towers,반지의 제왕: 두 개의 탑,12,101.357,"['New Zealand', 'United States of America']",2002-12-18,['English'],8.395,21228
"['Adventure', 'Animation', 'Fantasy']","['mission', 'orcs', 'elves', 'dwarf', 'fantasy world', 'wizard', 'journey', 'ring', ""hero's journey"", 'high fantasy', 'creatures', 'animation', 'epic quest', 'trolls', 'hobbit']",en,The Lord of the Rings,로드 오브 링스,,28.922,"['United Kingdom', 'United States of America']",1978-11-15,['English'],6.557,844
"['Adventure', 'Fantasy', 'Animation']","['friendship', 'human vs nature', 'wolf', 'fight', 'wild boar', 'territory', 'leprosy', 'feral child', 'decapitation', 'rural area', 'historical fiction', 'spirit', 'demon', 'nature', 'environmentalism', 'adult animation', 'deforestation', 'anime', 'industrialization']",ja,もののけ姫,모노노케 히메,ALL,55.223,['Japan'],1997-07-12,['日本語'],8.339,7715
"['Horror', 'Thriller', 'Comedy']","['voodoo', 'evil doll', 'mental institution', 'killer doll', 'serial killer', 'slasher', 'killer toys', 'toy comes to life', 'possessed doll', 'supernatural power']",en,Cult of Chucky,컬트 오브 처키,,56.39,"['Canada', 'United States of America']",2017-10-12,['English'],5.795,1227
"['Science Fiction', 'Action']",['alien invasion'],en,Occupation: Rainfall,아큐페이션 2: 레인폴,,41.173,['Australia'],2020-10-30,['English'],6.139,227
"['Animation', 'Family', 'Fantasy']","['witch', 'parent child relationship', 'darkness', 'bath house', 'magic', 'spirit', 'parallel world', 'amusement park', 'youkai', 'japanese mythology', 'anime']",ja,千と千尋の神隠し,센과 치히로의 행방불명,All,117.948,['Japan'],2001-07-20,['日本語'],8.537,15986
"['Romance', 'Fantasy', 'Drama', 'Comedy']","['deja vu', 'groundhog', 'weather forecast', 'telecaster', 'pennsylvania, usa', 'alarm clock', 'winter', 'time warp', 'holiday', 'time loop', 'magic realism', 'existentialism', 'groundhog day']",en,Groundhog Day,사랑의 블랙홀,15,45.422,['United States of America'],1993-02-11,"['English', 'Français', 'Italiano']",7.609,7722
"['Drama', 'Crime']","['sexual identity', 'friendship', 'spain', 'sexual abuse', 'drug abuse', 'transvestism', 'madrid, spain', 'transsexuality', 'boarding school', 'screenplay', 'identity', 'movie business', 'teacher', 'murder', 'priest', 'lgbt', 'childhood friends', 'catholicism', '1980s', 'film director']",es,La mala educación,나쁜 교육,18,19.155,['Spain'],2004-03-19,"['Latin', 'Español']",7.37,920
"['Action', 'Thriller', 'Horror']",[],en,HellKat,,,45.353,['United States of America'],2021-02-02,['English'],5.5,24
['Drama'],"['paris, france', 'delinquent', 'coming of age', 'fingerprint', 'semi autobiographical', 'skipping school', 'mugshot', 'strict teacher', 'montmartre, paris']",fr,Les Quatre Cents Coups,400번의 구타,15,27.852,['France'],1959-06-03,"['English', 'Français']",8.042,2058
"['Science Fiction', 'Adventure', 'Mystery']","['spacecraft', 'man vs machine', 'artificial intelligence (a.i.)', 'self sacrifice', 'teleportation', 'san francisco, california', 'starship', 'space opera', 'nostalgic', 'reunited friends', 'meditative', 'philosophical', 'outer space', 'lighthearted', 'didactic', 'reminiscent', 'sentimental', 'hopeful', 'melodramatic', 'sympathetic']",en,Star Trek: The Motion Picture,스타 트렉,,64.14,['United States of America'],1979-12-07,['English'],6.5,1653
"['Thriller', 'Action', 'Drama']","['martial arts', 'human trafficking', 'bangkok, thailand', 'muay thai', 'rogue cop', 'sex slavery']",en,Skin Trade,스킨 트레이드,18,31.93,"['Canada', 'Thailand', 'United States of America']",2014-11-07,"['ภาษาไทย', 'English']",6.098,256
"['Action', 'Adventure', 'Science Fiction', 'Thriller']","['spacecraft', 'life and death', 'genetics', 'asteroid', 'self sacrifice', 'teleportation', 'genesis', 'midlife crisis', 'terraforming', 'simulator', 'cadet', 'radiation', 'uss reliant', 'starship', 'revenge', 'cynical', 'weapon of mass destruction', 'space opera', 'macabre', 'nostalgic', 'mentor protégé relationship', 'taunting', 'hard', 'angry', 'aggressive', 'desperate', 'outer space', 'dramatic', 'egotistical', 'antagonistic', 'arrogant', 'assertive', 'defiant', 'disdainful', 'disheartening', 'tragic']",en,Star Trek II: The Wrath of Khan,스타 트렉 2: 칸의 분노,,28.264,['United States of America'],1982-06-04,['English'],7.457,1840
"['Action', 'Thriller', 'Crime', 'Comedy']",[],en,High Heat,킬러의 레스토랑,15,28.929,['United States of America'],2022-12-16,['English'],5.6,126
"['Drama', 'Action', 'Crime', 'Thriller']","['joker', 'sadism', 'chaos', 'secret identity', 'crime fighter', 'superhero', 'anti hero', 'scarecrow', 'based on comic', 'vigilante', 'organized crime', 'tragic hero', 'anti villain', 'criminal mastermind', 'district attorney', 'super power', 'super villain', 'neo-noir', 'sexy man in fury costume']",en,The Dark Knight,다크 나이트,15,99.684,"['United Kingdom', 'United States of America']",2008-07-16,"['English', '普通话']",8.516,32035
"['Science Fiction', 'Action', 'Adventure', 'Thriller']","['spacecraft', 'friendship', 'teleportation', 'genesis', 'starship', 'affectation', 'grave', 'resurrection', 'destruction of planet', 'space opera', 'macabre', 'alien friendship', 'father son relationship', 'mating ritual', 'outer space', 'sentimental', 'appreciative', 'baffled', 'compassionate', 'disapproving', 'disheartening', 'frustrated']",en,Star Trek III: The Search for Spock,스타 트렉 3: 스팍을 찾아서,,18.534,['United States of America'],1984-06-01,"['English', 'Pусский']",6.589,1308
"['TV Movie', 'Adventure', 'Family', 'Comedy']","['babysitter', 'remake']",en,Adventures in Babysitting,어드벤처 인 베이비시팅,,32.989,['United States of America'],2016-06-24,['English'],7.27,400
['Documentary'],[],en,Stevie Van Zandt: Disciple,,,34.985,['United States of America'],2024-06-08,['English'],0.0,0
"['Comedy', 'Romance', 'Drama']","['new york city', ""love of one's life"", 'broken engagement', 'cat', 'store window', 'cigarette', 'free spirit', 'writer', 'millionaire', 'jewelry store', 'gold digger', 'older woman younger man relationship', 'kept man', 'rich woman', 'best friends']",en,Breakfast at Tiffany's,티파니에서 아침을,12,35.143,['United States of America'],1961-10-06,"['English', 'Português']",7.668,4064
"['Adventure', 'Comedy', 'Science Fiction']","['flying car', 'skateboarding', 'car race', 'lightning', 'guitar', 'inventor', 'time travel', 'diner', 'car crash', 'sequel', 'alternate history', 'thunderstorm', 'tunnel', 'high school dance', 'hoverboard', '2010s', 'hilarious']",en,Back to the Future Part II,빽 투 더 퓨쳐 2,12,41.125,['United States of America'],1989-11-22,['English'],7.76,12414
"['Science Fiction', 'Action', 'Adventure', 'Thriller']","['spacecraft', 'self sacrifice', 'teleportation', 'starship', 'loss of loved one', 'uss enterprise-a', 'hostage', 'liberation of hostage', 'half-brother', 'space western', 'romulans', 'belief in god', 'cult leader', 'space opera', 'levitation', 'deity', 'el capitan', 'outer space', 'jailbreak']",en,Star Trek V: The Final Frontier,스타 트렉 5: 최후의 결전,,29.792,['United States of America'],1989-06-09,['English'],5.71,1132
"['Science Fiction', 'Action', 'Adventure', 'Thriller']","['spacecraft', 'plan', 'farewell', 'court case', 'teleportation', 'starship', 'uss enterprise-a', 'rura penthe', 'peace conference', 'peace contract', 'conspiracy', 'political assassination', 'space opera', 'mentor protégé relationship', 'environmental disaster', 'outer space']",en,Star Trek VI: The Undiscovered Country,스타 트렉 6: 미지의 세계,,25.81,['United States of America'],1991-12-06,['English'],7.0,1216
"['Horror', 'Mystery', 'Crime']","['sadism', 'shotgun', 'detective', 'flashback', 'hospital', 'doctor', 'torture', 'sadist', 'survival horror', 'chained', 'bludgeoning', 'death match', 'booby trap', 'mind game', 'extreme violence', 'death game', '恐佈', '血腥', '解謎', '逃脫']",en,Saw,쏘우,18,106.581,['United States of America'],2004-10-01,['English'],7.418,8940
['Action'],"['concert', 'computer', 'boston, massachusetts', 'fireworks', 'orchestra', 'anarchist', 'flashback', 'revenge', 'terrorism', 'wedding', 'explosion', 'roulette wheel', 'capsized ship', 'belfast, north ireland', 'bomb planting', 'headphones', 'bomb attack', 'action hero', 'blast', 'human bomb']",en,Blown Away,분노의 폭발,15,29.653,['United States of America'],1994-07-01,"['Gaeilge', 'English']",6.2,515
"['Science Fiction', 'Crime']","['london, england', 'robbery', 'street gang', 'great britain', 'based on novel or book', 'nihilism', 'parent child relationship', 'society', 'sexuality', 'social worker', 'psychopath', 'dystopia', 'dark comedy', 'satire', 'beating', 'electronic music score', 'juvenile delinquent', 'home invasion', 'sex crime', 'futuristic society', 'ultraviolence', 'social decay']",en,A Clockwork Orange,시계태엽 오렌지,,45.476,"['United Kingdom', 'United States of America']",1971-12-19,['English'],8.204,12505
"['Drama', 'Thriller', 'Crime', 'Mystery']","['sniper', 'assassin', 'assassination', 'gambling debt', 'identity', 'boss', 'gangster', 'mistake in person', 'fbi', 'murder', 'sniper rifle', 'horse racing', 'gambler', 'hoodlum']",en,Lucky Number Slevin,럭키 넘버 슬레븐,,49.86,"['Canada', 'Germany', 'United Kingdom', 'United States of America']",2006-02-24,['English'],7.478,3924
['Horror'],"['media', 'torture', 'social media influencer', 'death game']",en,Funhouse,리얼생존예능 펀하우스,,25.474,"['Canada', 'Sweden']",2019-10-25,['English'],5.219,135
"['Drama', 'Thriller', 'Mystery']","['based on novel or book', 'library', 'christianity', 'inquisition', 'monk', 'poison', 'secret passage', 'religion', 'labyrinth', 'rich', 'middle ages (476-1453)', 'persecution', 'medieval', 'franciscan', 'burned at the stake', 'poor', 'murder mystery', 'grotesque', 'theological debate', '14th century', 'master disciple relationship', 'umberto eco']",en,The Name of the Rose,장미의 이름,15,27.934,"['France', 'Germany', 'Italy']",1986-09-24,"['Deutsch', 'English', 'Italiano', 'Latin']",7.48,2898
"['Comedy', 'Romance']","['daughter', 'paris, france', 'love triangle', 'photography', 'ghost train', 'sex shop', 'shyness', 'journey around the world', 'postcard', 'romantic comedy', 'hypochondriac', 'romance', 'cafe', 'kindness', 'magic realism', ""child's point of view"", 'montmartre, paris', 'neighbor neighbor relationship', 'father daughter relationship', 'happy ending', 'childhood memory', 'whimsical']",fr,Le Fabuleux Destin d'Amélie Poulain,아멜리에,18,55.557,"['France', 'Germany']",2001-04-25,"['Français', 'Pусский']",7.9,11201
"['Action', 'Drama', 'History', 'War']","['epic', 'england', 'scotland', 'loss of loved one', 'idealism', 'based on true story', 'medieval', 'war', '勇敢的心', 'braveheart']",en,Braveheart,브레이브하트,15,61.473,['United States of America'],1995-05-24,"['English', 'Français', 'Latin', '']",7.939,9826
"['Science Fiction', 'Action', 'Adventure', 'Thriller']","['spacecraft', 'teleportation', 'inventor', 'starship', 'resistance', 'borg', 'enterprise-e', 'cyborg', 'montana', 'repayment', 'obsession', 'time travel', 'speed of light', 'business start-up', 'space opera', 'first contact', 'outer space', 'traumatized man']",en,Star Trek: First Contact,스타 트렉 8: 퍼스트 콘택트,,38.062,['United States of America'],1996-11-22,['English'],7.3,1690
"['Science Fiction', 'Action', 'Adventure', 'Thriller']","['spacecraft', 'teleportation', 'starship', 'fountain of youth', 'utopia', 'insurrection', 'alien', 'space opera', 'retribution', 'spacecraft officer', 'exploding ship', 'cosmos', 'technophobia', 'synthetic android', 'outer space']",en,Star Trek: Insurrection,스타 트렉 9: 최후의 반격,,25.889,['United States of America'],1998-12-11,['English'],6.4,1157
"['Drama', 'Thriller', 'Adventure']","['petrol', 'fire', 'life and death', 'unsociability', 'central and south america', 'venezuela', 'tanker', 'nitroglycerin', 'truck', 'oil', 'on the road', 'driver']",fr,Le Salaire de la peur,공포의 보수,,35.459,"['France', 'Italy']",1953-04-22,"['Français', 'English', 'Español', 'Italiano', 'Deutsch']",8.043,892
"['Drama', 'History', 'War']","['rwanda', 'refugee', 'refugee camp', 'militia', 'rwandan genocide', 'murder', 'slaughter', 'dead body', 'atrocity', 'african', 'cruelty', 'genocide', 'united nations', 'death']",en,Hotel Rwanda,호텔 르완다,12,41.211,"['Italy', 'South Africa', 'United Kingdom', 'United States of America']",2004-12-22,"['English', 'Français']",7.718,2760
